10459905032,223681939,2019-01-10 19:58:14,2019-01-10 20:01:17,104.129.194.181,,,,,"I would make an agreement with the person regarding future vacation conflicts.  If they are taking this one, I get it next year or next time the situation comes up.  This puts the power back to that individual and lets them think how really important that week is to them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10459904901,223681939,2019-01-10 19:58:04,2019-01-10 20:15:19,139.60.148.145,,,,,"I would first talk to my colleague about changing their vacation week. If that didn't work I would talk to my supervisor. I would ask who requested to have the week off first. If my colleague asked first then I would change my vacation week. If not, I would ask that my supervisor tell them to change their vacation.","I would go ahead and start working on the project. I would get the more time consuming things done first so when it got close to the due date I would be almost done. Then, if my boss gave me last minute task I would have plenty of time to get everything done.",I would ask my colleague to attend this meeting with me because it is important to know your clients. If they did not want to come I would go by myself. It would be in my best interest to attend the meeting regardless of what my colleague chooses to do.,I would review the feedback and then talk with my manager. If I felt like my manager was being unfair then I would have to speak with someone higher up. I wouldn't take a negative feedback knowing that it wasn't true and losing money.,I would find this to be enjoyable. I really like learning new things about different countries and their cultures. It would be time well spent. Plus a great bonus to add to my resume.,Agree a little,Agree a little,Disagree strongly,Neutral; no opinion,Disagree strongly,Agree a little,Agree strongly,Disagree a little,Neutral; no opinion,Disagree a little,Agree strongly,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Disagree strongly,Neutral; no opinion,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Disagree strongly,Disagree a little,Disagree strongly,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Disagree a little,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree a little,Disagree a little,Disagree strongly,Disagree strongly,Disagree strongly,Disagree a little,Agree a little,Disagree a little,Agree strongly,Agree a little,Agree a little,Disagree a little,Disagree a little,Neutral; no opinion,Disagree strongly,Disagree a little,Disagree strongly,Neutral; no opinion,Female,United States,,White,,21-29,Some college,A2F632QLHB23ZK,mR8NymvZFm
10459904818,223681939,2019-01-10 19:58:36,2019-01-10 20:05:23,65.26.152.132,,,,,I would also not volunteer to change my plans. I would explain what I already had planned to my colleague. If this did not work then I would ask the boss to go by seniority.,I would get it done as quickly s possible. I would not want to leave it until later then be unable to complete it and the last minute project. It is not good to procrastinate.,I would still want to go. I do not need to have someone with me that I know as I am sociable. This would be too good an opportunity to pass up for such a silly reason.,I would resquest a meeting with my manager. I would ask him to please go over the negatives and give me solid examples. If the manager was unable to prove to my satisfaction that the negatives were warranted I would ask to speak to someone higher up and bring in HR. ,I think it would be alot of fun. I love to learn about other cultures and also travel if needed. It would also show a willingness to take on work and be a team player.,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Female,United States,,White,,30-39,Some college,APLM782TVT53S,yZfoSuS9xA
10459904813,223681939,2019-01-10 19:58:16,2019-01-10 20:13:42,68.59.65.7,,,,,"I would probably go ahead and let my coworker have the week, if I hadn't already scheduled plans. I tend to shoot for the approval first, then make the plans, to avoid this type of matter. I wouldn't let it affect me too much, and I would be sure to let the supervisor know, to remember my leniency.","I would do some work every day,especially if my workload was currently light. That way, I could be consistent, and still get a good portion of work done. As it came closer to the deadline, I would also feel more comfortable, knowing that I've already submitted a body of work, and that any last minute tasks wouldn't throw me off schedule.","I would hate it, but would probably go. I would definitely be reluctant to, even moreso given that my colleague probably won't be there. I would still go, but depending on how things went, I would attempt to leave at the first opportunity that wouldn't be considered rude. All things considered, it's likely that I would have a good time.","I would not respond right away. I would leave the situation, and give myself time to cool off. When I'd feel that the time was ""right,"" I would then go ahead and give myself about another hour or so, and possibly talk the matter over with either my lady or my mentor. I would definitely take the feedback seriously, and attempt to incorporate any changes down the road.","I would find this experience interesting, not boring. I can't say whether it would be enjoyable or not at this point, but I would take on the task at hand. I would keep an open mind, and consider it a learning experience. ",Agree a little,Agree a little,Disagree strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Neutral; no opinion,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree a little,Agree strongly,Disagree strongly,Neutral; no opinion,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Disagree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree strongly,Agree a little,Neutral; no opinion,Agree strongly,Disagree strongly,Agree a little,Disagree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Neutral; no opinion,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree a little,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Neutral; no opinion,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Male,United States,,Black or African-American,,40-49,Graduated from college (B.A./B.S.),A2XALDG2EOF7G3,aLwNxu8nDc
10459903954,223681939,2019-01-10 19:57:46,2019-01-10 20:14:34,24.191.62.253,,,,,I would change my vacation plans. I would reschedule my vacation a week or two after he came back. I would ask him to let me know when he is planning on taking a vacation in order to avoid any future conflicts. I would also let him in on my vacation plans.,I would get the project completed as quickly as possible. That way I can handle anything that might come up. I could also handle any modifications to the project. There always seems to be last minute changes or additions to a project.,I would talk to him and explain the importance of the meeting. I would possibly take on some of his tasks as payment. I would also offer one of my vacation days if I thoght it was that important.,I would feel badly about this situation. I would ask him to document the specifics in an email. The email would provide proof of the negative feedback and why it may be incorrect.,I would probably not volunteer since I probably have enough to manage. It would probably be extra work with little reward. I am not interested in learning about other cultures. ,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Agree a little,Neutral; no opinion,Agree strongly,Disagree a little,Disagree a little,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Agree a little,Agree a little,Agree a little,Disagree strongly,Agree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Agree a little,Agree strongly,Agree strongly,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Disagree strongly,Disagree a little,Disagree strongly,Agree a little,Male,United States,,White,,40-49,Graduated from college (B.A./B.S.),A1MAJKG546YES5,AWSf4lGpTl
10459903392,223681939,2019-01-10 19:57:14,2019-01-10 20:16:53,72.51.242.83,,,,,I WOULD CHANGE MY VACATION TO OTHER WEEK. IT IS BEST TO BE IN PEACE WITH MY CO-WORKER. I CONSIDER THIS SITUATION VERY UNCOMFORTABLE. ,I WOULD WORK IN THIS PROJECT HOW I AM USED TO DO. I AM USED TO LAST MINUTE JOBS THAT MY BOSS GIVE ME. THIS TIME I DONT THINK ITS GOING TO BE DIFFERENT ,I WOULD GO EVEN IF I DO NOT KNOW ANYBODY. MY JOB IT'S IMPORTANT TO ME. I KNOW THAT IF I DONT GO I COULD MAKE A BAD IMPRESSION IN MY CLIENT.,I WOULD FEEL FRUSTRATED. I ALSO WOULD SPEAK WITH MY MANAGER AND ASK WAYS TO BE BETTER IN MY JOB. I HOPE IT HELP.,I WOULD FIND THE EXPERIENCE VERY ENJOYABLE. IT GIVES ME THE OPPORTUNITY TO LEARN NEW THING. ALSO CHALLENGE MYSELF.,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree strongly,Neutral; no opinion,Neutral; no opinion,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Agree a little,Disagree a little,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Disagree a little,Agree strongly,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree a little,Agree a little,Neutral; no opinion,Disagree a little,Agree strongly,Agree a little,Disagree strongly,Neutral; no opinion,Disagree a little,Disagree strongly,Neutral; no opinion,Disagree a little,Agree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Disagree a little,Disagree strongly,Agree a little,Female,United States,,White,,30-39,Some college,A2KXUQP1HERQVA,ZexGaKadHx
10459903155,223681939,2019-01-10 19:56:59,2019-01-10 20:11:56,100.14.107.177,,,,,"This depends how far ahead we have had this vacation booked. If I was taking the days on a short term basis and not really traveling anywhere significant, then I would let my co-worker take the days. However, if it was a short term decision based on the severity of a personal situation (sick relative for example) I would not take no for an answer. I would expect the co-worker to treat me the same way and I'm sure after discussion we could understand who has the higher priority for this vacation. Finally, if far out then I would maybe see if I could re-book stuff etc. ","I would get this project done as soon as possible at a normal pace. With the knowledge that my boss assigns last minute tasks, I would not want to get caught out with this one. I would make sure I have room to maneuver.","The networking meeting sounds important so I would make sure I go despite the long day I've had. I believe the hard work in going would pay off as you never know what it may lead to down the line. I would try and encourage my co-worker to go citing these reasons, but I would not base my attendance on theirs.",I would feel extremely aggrieved in this situation as part of my mind would wonder if the negative feedback is purely motivated by saving money on paying bonuses. The first thing I would do is work on a water-tight case from my end as to why I believe the negative feedback should be considered. I would then sit down with my boss and discuss the situation to try and their mind.,I would find this experience incredibly exciting as I would maybe get to travel and experience another culture. The learning about Norway as a mandatory pre-requisite would also be an exciting task rather than a chore. I would still get to work on an exciting task whether I actually got to travel or not and variety at work is important to me.,Neutral; no opinion,Neutral; no opinion,Disagree strongly,Neutral; no opinion,Disagree a little,Neutral; no opinion,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Disagree strongly,Agree a little,Agree a little,Disagree a little,Agree strongly,Disagree strongly,Neutral; no opinion,Agree a little,Disagree a little,Disagree strongly,Disagree a little,Agree a little,Disagree a little,Disagree a little,Agree a little,Disagree a little,Disagree strongly,Disagree a little,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Agree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Disagree strongly,Disagree strongly,Agree a little,Disagree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Disagree a little,Neutral; no opinion,Disagree a little,Disagree strongly,Neutral; no opinion,Disagree a little,Neutral; no opinion,Agree strongly,Agree a little,Disagree strongly,Neutral; no opinion,Agree a little,Neutral; no opinion,Disagree a little,Disagree strongly,Disagree strongly,Neutral; no opinion,Male,United States,,White,,30-39,Completed graduate school,A3I742U8CHU2O6,yZfoSuS9xA
10459902849,223681939,2019-01-10 19:56:06,2019-01-10 20:13:03,162.204.49.231,,,,,"I would likely defer and not insist on taking my vacation as planned UNLESS I had made and paid for expensive reservations, airfare and other arrangements for something like an international trip and these plans were finalized before this problem arose. My motive would be simply to not create friction in the workplace and not disrupt output even though I am being asked to compromise because someone else will not. I am long past the age where I expect and require absolute parity with other people in the workplace. Hopefully my own plans if any can be kept on an alternative schedule.","I would politely but firmly insist that while I would be happy to fulfill any tasks according to time and ability, completing the project on time takes precedence and would request that such tasks be requested of other people once my schedule became saturated. However my past experience has been that doing what my boss wishes prevails to the point of failing to fulfill my job function properly and the job has often ended in termination or resignation as a result. ",I would drink some coffee and attend the networking meeting with or without my colleague. I would not require an intermediary for introductions and I would still be able to establish some first impressions and perhaps make some contacts while learning some more about the operations of the client company. My own singular appearance will be far prefereable than having no one at all appear to represent my company.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10459902080,223681939,2019-01-10 19:55:45,2019-01-10 20:11:41,98.167.4.179,,,,,"I would first request a private meeting with my colleague.  I would ask him or her to help us talk about the problem in a civil, polite, and professional manner to see if we could work out an agreement.  If that fails to produce a solution, I would ask my supervisor to meet with both myself and my colleague to discuss the situation, taking into account the timing of our requests (who made the request first) and other important factors.  In the event a solution is still not reached, I would consider consulting with the human resources department, in conjunction with my supervisor, to arrive at a reasonable solution.","I would make every reasonable attempt to complete the project immediately, prior to the two week deadline.  Even if I can make substantial headway on a substantial portion of the project, that will protect me from having the project come at risk due to any last minute assignments.  I would keep my boss apprised of my work and priorities to ensure that my tasks and work load are approved by her or him as I go along.","I would first double check with my colleague to see if I could convince her or him to attend the networking meeting for a short time.  If that is not successful, I would check with other colleagues to see if they would consider attending.  If all of these efforts are not successful, I would consider attending the networking meeting alone.  There are advantages to attending alone, so I would have no concerns about doing so.","I would take appropriate time to consider my manager's feedback.  Once I have a cool head and I have had a chance to fully consider the feedback, I would request a private meeting to discuss the feedback in more detail.  During this meeting, I would ask him or her to reconsider the feedback based on hearing my responses and perspective.","I would find this experience enjoyable.  Learning about Norway and its culture would be an asset to me, personally and professionally.  The work could also potentially make me a more valuable employee for future projects with Norway.  The volunteering also sends the signal to my supervisors that I am enthusiastic and interested in personal and professional growth.",Agree a little,Agree strongly,Disagree a little,Agree a little,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree strongly,Disagree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Agree a little,Neutral; no opinion,Disagree strongly,Agree a little,Disagree strongly,Neutral; no opinion,Agree strongly,Agree a little,Disagree strongly,Disagree a little,Agree a little,Disagree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Agree a little,Neutral; no opinion,Disagree a little,Neutral; no opinion,Agree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Agree a little,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Disagree a little,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Male,United States,,White,,50-59,Completed graduate school,A2B26DMSOG0LZD,ZoaQkKiEyy
10459901824,223681939,2019-01-10 19:55:36,2019-01-10 20:03:24,98.101.66.67,,,,,"I would change my vacation plans. Most often, having this argument simply isnt worth the time and effort involved and would likely just stress me out. I also don't want to negatively impact my reputation with my colleague when I may have to work with them in the future. ","I would work as much as I could on the project while I had free time. I don't want to get stuck with it later on. And by completing it early, my boss may be pleased. ","I would probably not go, even though I should. It would be smart to go and network with the client, however I hate situations where I dont know anyone. That would lead me to avoid that event. ",I would approach my manager and ask to speak privately. I would lay out my case and explain where I believe he is wrong. If he continues there is a chance I would start looking ofr a new job. ,I would enjoy it. The act of learning is highly enjoyable to me and I want to add more of it to my life. I dont know much about Norway and Id like to learn .,Agree a little,Agree a little,Neutral; no opinion,Disagree a little,Disagree a little,Neutral; no opinion,Agree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Agree a little,Disagree strongly,Agree a little,Disagree a little,Neutral; no opinion,Disagree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Disagree a little,Disagree a little,Neutral; no opinion,Neutral; no opinion,Disagree strongly,Agree a little,Agree strongly,Neutral; no opinion,Disagree a little,Agree a little,Disagree a little,Disagree a little,Disagree a little,Disagree strongly,Neutral; no opinion,Disagree strongly,Disagree a little,Neutral; no opinion,Agree a little,Agree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Neutral; no opinion,Disagree a little,Disagree strongly,Agree a little,Agree strongly,Disagree a little,Disagree strongly,Disagree a little,Agree a little,Neutral; no opinion,Agree strongly,Disagree strongly,Disagree strongly,Neutral; no opinion,Male,United States,,White,,21-29,Completed graduate school,A1HRMDCPPZ5GPH,yZfoSuS9xA
10459901781,223681939,2019-01-10 19:51:59,2019-01-10 20:27:04,174.32.161.73,,,,,"I would change my vacation plans to accomadate my colleague. I try to be very giving because I usually will get returns from individuals in future situations that are to my advantage when I ""give in"" and accommodate coworkers. I think it is nice to do because vacation time off of work is so precious and much needed. If you help others they usually help you back in the future. I would want to be a helpful employee that collaborates well with others in my group at work. ","I would not procrastinate on getting this project done because of the past behavior of my boss, giving me work at the last minute to get done and still expecting me to meet all deadlines. If I am not rushed though, I can do a superb job on my assignment, so another good reason to get right on the assignment. I would hope to get the majority of the project done a week ahead, and then go back and thoroughly review all decision making and all work to make sure that no mistakes were made. ","I would decide to go to this meeting because the networking advantage with one of  my largest client would dictate to me the importance of me attending, even if I must go alone. My colleague would be appreciative of any information that I find out about this important client also. I would help myself, my company, including my colleague to go to this important networking meeting to further bond my relationship with one of my largest clients.","I  would be mad and hurt at first. I would then review what the manager said to me. If I felt comfortable with the manager, I would ask for an improvement plan and any tips that would advance my knowledge concerning my lack of abilities that he/she, the manager, expects of me. I would request training, if available, to help me improve my skills. ","I would find this project extremely enjoyable and would volunteer to be involved. I know almost nothing about Norway so this project would help me become informed about this country and the people that live and work in that country. I feel that my new future knowledge would also help me be more sensitive to the needs of my client from Norway, so I can be more accommodating to this client as our business relationship proceeds. ",Agree strongly,Agree a little,Disagree a little,Agree a little,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Agree a little,Agree strongly,Agree a little,Agree strongly,Disagree a little,Disagree a little,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Agree a little,Disagree a little,Disagree strongly,Agree strongly,Disagree a little,Disagree a little,Agree a little,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Agree a little,Neutral; no opinion,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree a little,Agree a little,Agree strongly,Disagree strongly,Agree a little,Disagree a little,Disagree strongly,Disagree strongly,Disagree strongly,Neutral; no opinion,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Female,United States,,White,,50-59,Completed graduate school,A38VJLWAK356BN,
10459901581,223681939,2019-01-10 19:54:40,2019-01-10 20:14:38,72.71.177.125,,,,,"I would concede to my colleague in the interest of team spirit and collegiality at work. At the same time, I would also propose that we take a look at the following year's calendar and make some tentative plans for the following year's vacation schedules. My hope would be that my teammate would take the hint and allow me first dibs on vacation dates for the year after this one. If needed, I would make such a suggestion directly to my colleague.","First of all, I would set up a timeline for myself with completion dates over the next two weeks for various steps in the process. I would think the project through, what needs to be done in what order, and how much lead time is needed for each step. I would run the timeline by my boss or make her or him aware of how I plan to approach the project and use my time. Should my boss hand me last-minute tasks that would significantly throw off my project-completion timeline, I would be sure to tell him or her that the new task(s) would either delay my big project completion, or have themselves to be delayed until the big project is finished. (Alternatively, I might ask for help such as a temp, volunteer, or other staff member to be lent to our team.)","I would definitely go to the networking meeting. First of all, it is one of our largest clients and that is very important. Second, I am not a shy person and have no hesitation in entering a room, group or meeting where I (yet) don't know anyone. I am certain that as the meeting goes on, I will get to know people and by the end I would know at least a few other people there. By the way, the long day at work would have no impact - this is a meeting after hours and outside the office, and might even be fun.","I would have to do some deep breathing and possibly ask for some time to think about the feedback, scheduling a follow-up meeting for my response. (I do not love getting negative feedback unless the person is very skilled at doing it.) During the actual feedback, I would ask my manager for specific examples. I would listen carefully and take notes. I would ask my manager -  either then or at a follow-up meeting - if she or he would mind my posing a few questions that could shed more light on the situation (or whatever gave rise to the negative feedback). Depending on how things went, I might also ask for the opportunity to write a response and have my response included in my personnel file. We would also have ""arbitration"" of some sort, where a trained third party would listen to both sides of our issue.","I would find this experience extremely enjoyable and I would also, frankly, lobby for the opportunity to go to Norway on the company's dime! I can see no downside at all to learning about another country and culture. I would even do some of it on my own time, off the clock. I would be watching Norwegian films, reading Norwegian literature, learning some basic Norwegian language phrases such as greetings and question-asking. I would try to find a Norwegian exchange partner with whom I could meet periodically to learn about each other's cultures. This would be a lot of fun.",Agree strongly,Agree strongly,Disagree strongly,Agree a little,Disagree a little,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Agree a little,Disagree a little,Agree strongly,Neutral; no opinion,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Neutral; no opinion,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree a little,Disagree strongly,Agree strongly,Female,United States,,White,,60 or older,Completed graduate school,A3MJKY3JO8SMHV,fawfYPLC2s
10459901542,223681939,2019-01-10 19:55:31,2019-01-10 20:07:12,24.188.102.236,,,,,I would try to speak to my supervisor about finding a fair way to decide which one of us should get the time off. I would be persistent with this approach because I am also not willing to change my vacation plans. I would probably be angry if I am not able to get the time off.,I would complete the project ahead of time if is is really a light workload. I would not tell my boss I am done and I would anticipate a last minute task from him. If he gave me a last minute task I would take care of it without letting him know I am done with the other project.,"I would go to the networking meeting because I don't depend on my colleagues in the workplace to ""guide"" me around. I would network and make sure the client knows my name. I would make this a growing opportunity to ensure I will have a more lead role in future projects with this client.",I would try to talk to my manager about this feedback. If he isn't willing to change it I will file a complaint with the higher ups. If that is not possible I would find a way to make his life more miserable in the future.,I would be interested in this opportunity and would find it enjoyable. Expanding my horizons and possibly making new friends is not something one wants to miss. It doesn't require travel so I would find his easy.,Agree a little,Disagree a little,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Agree a little,Disagree a little,Agree a little,Agree a little,Agree strongly,Neutral; no opinion,Disagree a little,Agree a little,Agree a little,Agree a little,Agree a little,Neutral; no opinion,Agree a little,Disagree strongly,Agree a little,Agree a little,Agree a little,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Neutral; no opinion,Neutral; no opinion,Disagree a little,Agree strongly,Disagree a little,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Agree a little,Neutral; no opinion,Agree a little,Neutral; no opinion,Neutral; no opinion,Disagree strongly,Agree a little,Disagree strongly,Agree a little,Agree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,Neutral; no opinion,Neutral; no opinion,Disagree strongly,Neutral; no opinion,Disagree strongly,Disagree a little,Agree a little,Agree a little,Disagree strongly,Neutral; no opinion,Neutral; no opinion,Neutral; no opinion,Disagree a little,Disagree strongly,Disagree strongly,Agree a little,Male,United States,,White,,21-29,Completed graduate school,A3CNX9KHB0OMWZ,aLwNxu8nDc
10459900928,223681939,2019-01-10 19:54:29,2019-01-10 20:09:48,12.38.35.6,,,,,"I would change my vacation just so there won't be any conflict. I rather be the bigger person, so there wouldn't be any hassle, I don't need things at work or to make life more complicated that it already is.","I would try to get as much done as possible before the do date, so just in case my boss do decide to give me last minute task, I can have enough time to complete them all or trying working simultaneously on all task.","I would try my best to convince my colleague to go and if that fails, I will just go alone and try to get to know people and explain to them that we share a mutual friend and tell that my colleague couldn't make it but, I'm filling in.","I would try to justify my actions and reasons. If that doesn't seem to work, then I will own responsibility and ask what I can do to improve and see it will change things in the future.","I would find this experience enjoyable, because I enjoying learning about new cultures and information about foreign places. It will be very helpful in winning the client over and can be of great use in the future.",Agree strongly,Agree a little,Agree a little,Neutral; no opinion,Disagree a little,Agree a little,Neutral; no opinion,Disagree a little,Agree strongly,Disagree a little,Agree strongly,Disagree a little,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree a little,Neutral; no opinion,Neutral; no opinion,Disagree a little,Disagree a little,Agree a little,Disagree a little,Disagree a little,Neutral; no opinion,Agree a little,Agree a little,Neutral; no opinion,Disagree a little,Disagree a little,Agree a little,Disagree strongly,Disagree a little,Neutral; no opinion,Neutral; no opinion,Agree a little,Disagree a little,Agree a little,Neutral; no opinion,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Agree strongly,Agree a little,Disagree a little,Agree a little,Agree a little,Disagree strongly,Neutral; no opinion,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree strongly,Disagree a little,Agree a little,Agree a little,Neutral; no opinion,Disagree a little,Disagree strongly,Agree strongly,Male,United States,,From multiple races,,21-29,Some college,AG7C4X3WKKBV,JoUNgkHLFy
10459900758,223681939,2019-01-10 19:55:03,2019-01-10 20:02:55,47.158.192.215,,,,,I would say that I am not willing to change my vacation plans either. I do not feel like it is my responsibility to change my plans. The boss should figure out a solution that works for all parties involved.,I would take my time on the project. I do not want to get last minute assignments that will take a lot of time. By dragging my feet I can hopefully prevent the supervisor from giving last-minute assignments.,I would not go to the meeting if my colleague did not go. I would ask my colleague to go with me first and try to convince them to go. If that did not work I would choose to skip it too. I don't see why I have to go if they are not going too. I have had a long day at work.,I would feel really frustrated about the situation. It could impact me financially which is not fair. I would ask to speak with the boss to review the feedback. I would gather proof beforehand to validate my point.,I would find this experience enjoyable because I like learning about new cultures. One of my favorite things to do is travel. If the project could also include travel I would be very interested. Either way it would be fun interacting with people from a different culture.,Disagree a little,Agree strongly,Disagree strongly,Agree strongly,Neutral; no opinion,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Disagree a little,Agree strongly,Disagree strongly,Neutral; no opinion,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree a little,Disagree strongly,Agree strongly,Disagree strongly,Neutral; no opinion,Agree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,Neutral; no opinion,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Disagree strongly,Neutral; no opinion,Disagree strongly,Disagree strongly,Disagree strongly,Disagree a little,Neutral; no opinion,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Agree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree a little,Female,United States,,White,,21-29,Some graduate school,A2EF4TNVFJ5A0D,n3Tyy3K9Jt
